company,Date,ROE(%),EPS
1323,2001,4.23,0.52
1323,2000,4.39,0.53
1324,2016,6.53,0.86
1324,2015,5.94,0.77
1324,2014,4.35,0.57
1324,2013,4.35,0.58
1324,2012,3.65,0.5
1324,2011,7.06,0.95
1324,2010,6.11,0.8
1324,2009,8.45,1.07
1324,2008,4.07,0.49
1324,2007,-3.84,-0.45
1324,2006,-1.21,-0.14
1324,2005,4.03,0.5
1324,2004,3.01,0.4
1324,2003,3.29,0.96
1324,2002,4.06,1.2
1324,2001,2.18,1
1324,2000,5.39,6.19
1325,2016,5.93,1.16
1325,2015,5.09,1
1325,2014,2.96,0.58
1325,2013,3.79,0.72
1325,2012,3.94,0.74
1325,2011,6.57,1.21
1325,2010,8.7,1.59
1325,2009,11.61,1.97
1325,2008,9.34,1.56
1325,2007,7.75,1.19
1325,2006,2.28,0.36
1325,2005,2.87,0.4
1325,2004,-5.36,-0.7
1325,2003,2.56,0.31
1325,2002,1.29,0.18
1325,2001,0.9,0.14
1325,2000,17.95,2.38
1326,2016,13.68,7.5
1326,2015,9.63,4.72
1326,2014,4.41,1.8
1326,2013,9.11,4.25
1326,2012,2.9,1.25
1326,2011,11.31,5.81
1326,2010,17.49,8.33
1326,2009,12.35,5.19
1326,2008,2.89,1.1
1326,2007,20.34,8.63
1326,2006,17.87,5.88
1326,2005,26.85,7.43
1326,2004,33.43,8.46
1326,2003,17.17,3.92
1326,2002,11.75,2.62
1326,2001,5.23,1.17
1326,2000,16.36,3.54
1333,2016,-10.99,-0.76
1333,2015,-6.76,-0.33
1333,2014,-17.31,-0.96
1333,2013,-4.13,-0.24
1333,2012,-9.43,-0.6
1333,2011,-11.7,-0.81
1333,2010,3.85,0.27
1333,2009,-12.82,-0.97
1333,2008,-67.85,-7.96
1333,2007,-4.04,0.37
1333,2006,-1.62,0.53
1333,2005,21.79,4.01
1333,2004,22.48,3.73
1333,2003,48.8,7.83
1333,2002,60.79,9.85
1333,2001,30.5,7.34
1333,2000,49.82,12.28
1336,2016,-10.55,-2.16
1336,2015,-10.11,-2.38
1336,2014,-2.57,-0.64
1336,2013,0.41,0.1
1336,2012,-3.32,-0.83
1336,2011,-0.16,-0.04
1336,2010,0.61,0.16
1336,2009,-4.87,-1.35
1336,2008,3.18,0.91
1336,2007,14.19,4.14
1336,2006,25.44,6.06
1336,2005,24.11,5.52
1336,2004,30.77,5
1336,2003,4.67,0.54
1336,2002,3.56,0.4
1336,2001,5.73,0.49
1336,2000,,0.43
1337,2016,4.03,1.53
1337,2015,3.83,1.5
1337,2014,11.96,4.54
1337,2013,15.53,6.44
1337,2012,22.6,9.25
1337,2011,29.43,9.36
1337,2010,45.96,8.34
1337,2009,70.15,8.59
1337,2008,,5.24
1338,2016,9.66,8.17
1338,2015,11.83,9.04
1338,2014,11.58,7.78
1338,2013,10.15,5.87
1338,2012,8.19,4.96
1338,2011,18.95,9.18
1338,2010,22.78,8.63
1338,2009,26.66,13.51
1338,2008,37.15,12.16
1338,2007,,7.54
1339,2016,9.47,4.13
1339,2015,13.86,4.6
1339,2014,16.97,4.57
1339,2013,13.6,3.33
1339,2012,11.69,2.63
1339,2011,13.51,2.84
1339,2010,7.76,1.64
1339,2009,11.52,2.35
1339,2008,11.14,2.17
1339,2007,10.61,1.93
1339,2006,12,1.84
1339,2005,,1.41
1340,2016,15.21,7.68
1340,2015,16.11,7.51
1340,2014,22.6,10.6
1340,2013,27.97,10.08
1340,2012,33.98,8.82
1340,2011,43.19,7.51
1340,2010,,6.11
1402,2016,4.96,1.26
1402,2015,5.61,1.61
1402,2014,6.5,2.21
1402,2013,8.25,2.75
1402,2012,8.81,1.73
1402,2011,11.1,2.26
1402,2010,13.67,2.7
1402,2009,10.66,1.74
1402,2008,7.44,1.01
1402,2007,12.78,2.54
1402,2006,12.01,1.92
1402,2005,13.99,2.04
1402,2004,18.16,2.25
1402,2003,10.64,1.17
1402,2002,8.97,0.7
1402,2001,6.57,0.23
1402,2000,3.17,0.07
1409,2016,2.88,0.46
1409,2015,2.42,0.46
1409,2014,5.02,0.81
1409,2013,5.23,0.65
1409,2012,4.83,0.55
1409,2011,5.45,0.71
1409,2010,8.96,1.21
1409,2009,4.44,0.44
1409,2008,-0.2,-0.05
1409,2007,3.44,0.46
1409,2006,0.65,0.12
1409,2005,0.54,0.06
1409,2004,3.67,0.4
1409,2003,2.17,0.24
1409,2002,5.03,0.44
1409,2001,-3.18,-0.28
1409,2000,-8.44,-0.77
1410,2016,10.32,1.63
1410,2015,10.47,1.64
1410,2014,8.64,1.21
1410,2013,7.41,1.08
1410,2012,9.09,1.28
1410,2011,7.81,1.06
1410,2010,8.02,1.01
1410,2009,-0.77,-0.16
1410,2008,0.66,0.05
1410,2007,1.32,0.15
1410,2006,-0.03,0
1410,2005,-3.05,-0.27
1410,2004,-0.88,-0.05
1410,2003,-0.85,0.02
1410,2002,-4.74,-0.39
1410,2001,-9.4,-0.9
1410,2000,-12.47,-1.32
1413,2016,-7.73,-0.47
1413,2015,0.44,0.03
1413,2014,-29.92,-2.44
1413,2013,-26.92,-1.77
1413,2012,-20.19,-1.61
1413,2011,-6.42,-0.58
1413,2010,8.34,0.71
1413,2009,-14.92,-1.24
1413,2008,-19.32,-1.14
1413,2007,2.49,0.08
1413,2006,-11.12,-0.77
1413,2005,-18.27,-1.39
1413,2004,-2.15,-0.17
1413,2003,-7.51,-0.57
1413,2002,-1.4,-0.11
1413,2001,-17.69,-1.54
1413,2000,-14.11,-1.44
1414,2016,-0.1,-0.01
1414,2015,0.23,0.03
1414,2014,1.43,0.21
1414,2013,4.22,0.62
1414,2012,2.88,0.42
1414,2011,38.77,5.38
1414,2010,28.57,2.07
1414,2009,-19.14,-1.34
1414,2008,-13.87,-1.05
1414,2007,1.55,0.12
1414,2006,-3.64,-0.26
1414,2005,-26.85,-2.01
1414,2004,-6.54,-0.52
1414,2003,-4.91,-0.4
1414,2002,-5.82,-0.31
1414,2001,-23.01,-1.46
1414,2000,-21.85,-1.77
1416,2016,22.49,4.69
1416,2015,-0.68,-0.13
1416,2014,8.85,1.68
1416,2013,1.07,0.19
1416,2012,18.72,3.11
1416,2011,4.58,0.67
1416,2010,4.4,0.63
